publisher,journal_title,issn,eissn,journal_url,subject_area,scope,oa_model,fee_route,institution,apc_payable,other_fees,eligibility,agreement_start,agreement_end,annual_cap,article_types,evidence_status,record_status,source_url,policy_url,checked_on,source_updated,source_file,source_row,license,languages,country,doaj_url,instructions_url,apc_information_url,other_fees_url,source_record_id,notes
ASME,Applied Mechanics Reviews,,,,Mechanical engineering,,Hybrid,institutional_oa,UF,0,unknown,UF corresponding author; confirm article type and title with ASME institutional agreement.,,,,,publisher_catalog_plus_institution_policy,listed,https://www.asme.org/publications-submissions/journals/administration/journals-publication-frequency,https://guides.uflib.ufl.edu/openaccess/ufinvests,2026-09-19,,uf_100_percent_apc.csv,2,,,,,,,,,ASME public OA page independently lists UF; agreement term and quota not stated. Title spelling retained from source.
ASME,"ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems, Part B: Mechanical Engineering",,,,Mechanical engineering,,Hybrid,institutional_oa,UF,0,unknown,UF corresponding author; confirm article type and title with ASME institutional agreement.,,,,,publisher_catalog_plus_institution_policy,listed,https://www.asme.org/publications-submissions/journals/administration/journals-publication-frequency,https://guides.uflib.ufl.edu/openaccess/ufinvests,2026-09-19,,uf_100_percent_apc.csv,3,,,,,,,,,ASME public OA page independently lists UF; agreement term and quota not stated. Title spelling retained from source.
ASME,ASME Journal of Heat and Mass Transfer,,,,Mechanical engineering,,Hybrid,institutional_oa,UF,0,unknown,UF corresponding author; confirm article type and title with ASME institutional agreement.,,,,,publisher_catalog_plus_institution_policy,listed,https://www.asme.org/publications-submissions/journals/administration/journals-publication-frequency,https://guides.uflib.ufl.edu/openaccess/ufinvests,2026-09-19,,uf_100_percent_apc.csv,4,,,,,,,,,ASME public OA page independently lists UF; agreement term and quota not stated. Title spelling retained from source.
ASME,ASME Letters in Dynamic Systems and Control,,,,Mechanical engineering,,Hybrid,institutional_oa,UF,0,unknown,UF corresponding author; confirm article type and title with ASME institutional agreement.,,,,,publisher_catalog_plus_institution_policy,listed,https://www.asme.org/publications-submissions/journals/administration/journals-publication-frequency,https://guides.uflib.ufl.edu/openaccess/ufinvests,2026-09-19,,uf_100_percent_apc.csv,5,,,,,,,,,ASME public OA page independently lists UF; agreement term and quota not stated. Title spelling retained from source.
ASME,ASME Letters in Translational Robotics,,,,Mechanical engineering,,Hybrid,institutional_oa,UF,0,unknown,UF corresponding author; confirm article type and title with ASME institutional agreement.,,,,,publisher_catalog_plus_institution_policy,listed,https://www.asme.org/publications-submissions/journals/administration/journals-publication-frequency,https://guides.uflib.ufl.edu/openaccess/ufinvests,2026-09-19,,uf_100_percent_apc.csv,6,,,,,,,,,ASME public OA page independently lists UF; agreement term and quota not stated. Title spelling retained from source.
ASME,ASME Open Journal of Engineering,,,,Mechanical engineering,,Open access,institutional_oa,UF,0,unknown,UF corresponding author; confirm article type and title with ASME institutional agreement.,,,,,publisher_catalog_plus_institution_policy,listed,https://www.asme.org/publications-submissions/journals/administration/journals-publication-frequency,https://guides.uflib.ufl.edu/openaccess/ufinvests,2026-09-19,,uf_100_percent_apc.csv,7,,,,,,,,,ASME public OA page independently lists UF; agreement term and quota not stated. Title spelling retained from source.
ASME,Journal of Applied Mechanics,,,,Mechanical engineering,,Hybrid,institutional_oa,UF,0,unknown,UF corresponding author; confirm article type and title with ASME institutional agreement.,,,,,publisher_catalog_plus_institution_policy,listed,https://www.asme.org/publications-submissions/journals/administration/journals-publication-frequency,https://guides.uflib.ufl.edu/openaccess/ufinvests,2026-09-19,,uf_100_percent_apc.csv,8,,,,,,,,,ASME public OA page independently lists UF; agreement term and quota not stated. Title spelling retained from source.
ASME,Journal of Autonomous Vehicles and Systems,,,,Mechanical engineering,,Hybrid,institutional_oa,UF,0,unknown,UF corresponding author; confirm article type and title with ASME institutional agreement.,,,,,publisher_catalog_plus_institution_policy,listed,https://www.asme.org/publications-submissions/journals/administration/journals-publication-frequency,https://guides.uflib.ufl.edu/openaccess/ufinvests,2026-09-19,,uf_100_percent_apc.csv,9,,,,,,,,,ASME public OA page independently lists UF; agreement term and quota not stated. Title spelling retained from source.
ASME,Journal of Biomechanical Engineering,,,,Mechanical engineering,,Hybrid,institutional_oa,UF,0,unknown,UF corresponding author; confirm article type and title with ASME institutional agreement.,,,,,publisher_catalog_plus_institution_policy,listed,https://www.asme.org/publications-submissions/journals/administration/journals-publication-frequency,https://guides.uflib.ufl.edu/openaccess/ufinvests,2026-09-19,,uf_100_percent_apc.csv,10,,,,,,,,,ASME public OA page independently lists UF; agreement term and quota not stated. Title spelling retained from source.
ASME,Journal of Computational and Nonlinear Dynamics,,,,Mechanical engineering,,Hybrid,institutional_oa,UF,0,unknown,UF corresponding author; confirm article type and title with ASME institutional agreement.,,,,,publisher_catalog_plus_institution_policy,listed,https://www.asme.org/publications-submissions/journals/administration/journals-publication-frequency,https://guides.uflib.ufl.edu/openaccess/ufinvests,2026-09-19,,uf_100_percent_apc.csv,11,,,,,,,,,ASME public OA page independently lists UF; agreement term and quota not stated. Title spelling retained from source.
